Item,Cost (Low),Cost (High),Cost(Mid),Unit,Qty,Markup Percentage,Cost Code,Category,ID,OriginalUnit,SearchItem,Keywords,Subcategory,Phase,EstimatorModule,QualityTier,ConstructionTier
Stucco Cat Eye Patches around Sliding Doors,1340,2350,1845,EA,,70,9240,Stucco,st9,Each,stucco cat eye patches around sliding doors,around cat doors eye patches sliding stucco,General,Other,,Premium,Ultra-Luxury
Window Install,250,500,375,EA,,70,8050,Windows And Specialty Doors,wd1,Each,window install,install window,General,Envelope,windows_doors,Economy,Premium
Slider Door Install,1000,2500,1750,EA,,70,8050,Windows And Specialty Doors,wd2,Each,slider door install,door install slider,General,Envelope,windows_doors,Standard,Luxury
Window Cost,0,0,0,EA,,50,8050,Windows And Specialty Doors,wd3,EA,window cost,cost window,General,Envelope,windows_doors,Standard,Luxury
Slider Door Cost/Steel Door,5500,10000,7750,EA,,50,8050,Windows And Specialty Doors,wd4,Each,slider door cost steel door,cost door slider steel,General,Envelope,windows_doors,Premium,Ultra-Luxury
Engineered Hardwood Install,4,4.5,4.25,SF,,70,9600,Flooring,fl1,Sq Ft,engineered hardwood install,engineered hardwood install,General,Interior,flooring,Standard,Luxury
Engineered Hardwood Material,8,12,10,SF,0,30,9600,Flooring,fl2,Sq Ft,engineered hardwood material,engineered hardwood material,General,Interior,flooring,Premium,Ultra-Luxury
Engineered Hardwood Stair(s) Labor,120,120,120,EA,,70,9600,Flooring,fl3,Each,engineered hardwood stair s labor,engineered hardwood labor stair,General,Interior,flooring,Premium,Ultra-Luxury
Engineered Hardwood Stair(s) Nosing Material,120,120,120,EA,,30,9600,Flooring,fl4,Each,engineered hardwood stair s nosing material,engineered hardwood material nosing stair,General,Interior,flooring,Premium,Ultra-Luxury
Engineered Hardwood Floor Prep (Allowance),1,2.5,1.75,SF,,70,9600,Flooring,fl5,Sq Ft,engineered hardwood floor prep allowance,allowance engineered floor hardwood prep,General,Interior,flooring,Economy,Premium
LVP Install,2.5,3.5,3,SF,,70,9600,Flooring,fl6,Sq Ft,lvp install,install lvp,General,Interior,flooring,Economy,Premium
LVP Material,3,6,4.5,SF,0,30,9600,Flooring,fl7,Sq Ft,lvp material,lvp material,General,Interior,flooring,Standard,Luxury
LVP Stair(s) Nosing Labor,120,120,120,EA,,70,9600,Flooring,fl8,Each,lvp stair s nosing labor,labor lvp nosing stair,General,Interior,flooring,Premium,Ultra-Luxury
LVP Stair(s) Nosing Material,65,65,65,EA,,30,9600,Flooring,fl9,Each,lvp stair s nosing material,lvp material nosing stair,General,Interior,flooring,Premium,Ultra-Luxury
LVP Floor Prep (Allowance),1,2.5,1.75,SF,,70,9600,Flooring,fl10,Sq Ft,lvp floor prep allowance,allowance floor lvp prep,General,Interior,flooring,Economy,Premium
Carpet Install and Material,45,65,55,SQ YARD,,70,9680,Flooring,fl11,Sq Yard,carpet install and material,carpet install material,General,Interior,flooring,Premium,Ultra-Luxury
Flooring Glue Removal,1,1.5,1.25,SF,,70,9600,Flooring,fl12,Sq Ft,flooring glue removal,flooring glue removal,General,Interior,flooring,Economy,Premium
Flooring Thinset Removal,1,2,1.5,SF,,70,9600,Flooring,fl13,Sq Ft,flooring thinset removal,flooring removal thinset,General,Interior,flooring,Economy,Premium
Flooring Epoxy Quartz System Removal ,1.5,2.5,2,SF,,70,9600,Flooring,fl14,Sq Ft,flooring epoxy quartz system removal,epoxy flooring quartz removal system,General,Interior,flooring,Economy,Premium
Flooring Basic Concrete Prep,1,1,1,SF,,70,9600,Flooring,fl15,Sq Ft,flooring basic concrete prep,basic concrete flooring prep,General,Interior,flooring,Economy,Premium
Flooring Cut Out Existing Control Joint Filler,1,1.5,1.25,LF,,70,9600,Flooring,fl16,LF,flooring cut out existing control joint filler,control cut existing filler flooring joint out,General,Interior,flooring,Economy,Premium
Flooring Fill 2 Part Polyurethane Control Joints,3,3,3,LF,,70,9600,Flooring,fl17,LF,flooring fill 2 part polyurethane control joints,control fill flooring joints part polyurethane,General,Interior,flooring,Economy,Premium
Flooring Grind and Seal 2 Coats Water Based Acrylic,3.5,3.5,3.5,EA,,70,9600,Flooring,fl18,EA,flooring grind and seal 2 coats water based acrylic,acrylic based coats flooring grind seal water,General,Interior,flooring,Standard,Luxury
Flooring Grind and Seal 1 Coat Water Based Acrylic,4.5,4.5,4.5,EA,,70,9600,Flooring,fl19,EA,flooring grind and seal 1 coat water based acrylic,acrylic based coat flooring grind seal water,General,Interior,flooring,Standard,Luxury
Flooring Grind and Seal Water Based Epoxy/Urethane,5,5,5,EA,,70,9600,Flooring,fl20,EA,flooring grind and seal water based epoxy urethane,based epoxy flooring grind seal urethane water,General,Interior,flooring,Standard,Luxury
Flooring Polished Concrete (Salt and Pepper),4.5,4.5,4.5,SF,,70,9600,Flooring,fl21,Sq Ft,flooring polished concrete salt and pepper,concrete flooring pepper polished salt,General,Interior,flooring,Standard,Luxury
Flooring Polished Concrete (Medium Aggregate),6.5,6.5,6.5,SF,,70,9600,Flooring,fl22,Sq Ft,flooring polished concrete medium aggregate,aggregate concrete flooring medium polished,General,Interior,flooring,Premium,Ultra-Luxury
Flooring Polished Concrete (Full Aggregate),8.5,8.5,8.5,SF,,70,9600,Flooring,fl23,Sq Ft,flooring polished concrete full aggregate,aggregate concrete flooring full polished,General,Interior,flooring,Premium,Ultra-Luxury
Flooring Epoxy (Schroeder),5.5,9,7.25,SF,,70,9600,Flooring,fl24,Sq Ft,flooring epoxy schroeder,epoxy flooring schroeder,General,Interior,flooring,Premium,Ultra-Luxury
Flooring Solid Color Epoxy (Ground Control),4,4,4,SF,,70,9600,Flooring,fl25,Sq Ft,flooring solid color epoxy ground control,color control epoxy flooring ground solid,General,Interior,flooring,Standard,Luxury
Flooring Partial Flake Epoxy (Ground Control),4.5,4.5,4.5,SF,,70,9600,Flooring,fl26,Sq Ft,flooring partial flake epoxy ground control,control epoxy flake flooring ground partial,General,Interior,flooring,Standard,Luxury
Flooring Full Flake Epoxy (Ground Control),5.5,5.5,5.5,SF,,70,9600,Flooring,fl27,Sq Ft,flooring full flake epoxy ground control,control epoxy flake flooring full ground,General,Interior,flooring,Standard,Luxury
Flooring Metallic Epoxy (Ground Control),6.5,8.5,7.5,SF,,70,9600,Flooring,fl28,Sq Ft,flooring metallic epoxy ground control,control epoxy flooring ground metallic,General,Interior,flooring,Premium,Ultra-Luxury
Flooring Steam Clean and Seal Pavers 2 Coats,4.5,4.5,4.5,SF,,70,9600,Flooring,fl29,Sq Ft,flooring steam clean and seal pavers 2 coats,clean coats flooring pavers seal steam,General,Interior,flooring,Standard,Luxury
Flooring Steam Clean Pavers/Concrete,1,1.5,1.25,SF,,70,9600,Flooring,fl30,Sq Ft,flooring steam clean pavers concrete,clean concrete flooring pavers steam,General,Interior,flooring,Economy,Premium
Tile Float Floor,0.5,2.5,1.5,SF,,70,9300,Tile,ti1,Sq Ft,tile float floor,float floor tile,General,Other,tile,Economy,Premium
Tile Floor Installation,4.3,6,5.15,SF,,70,9300,Tile,ti2,Sq Ft,tile floor installation,floor installation tile,General,Other,tile,Economy,Premium
Tile Floor Material,6,15,10.5,SF,0,30,9300,Tile,ti3,Sq Ft,tile floor material,floor material tile,General,Other,tile,Standard,Luxury
Tile Upstairs Tile Floor Installation,7.5,10.5,9,EA,,70,9300,Tile,ti4,EA,tile upstairs tile floor installation,floor installation tile upstairs,General,Other,tile,Standard,Luxury
Tile Installation Walls,21.4,30,25.7,SF,,70,9300,Tile,ti5,Sq Ft,tile installation walls,installation tile walls,General,Other,tile,Standard,Luxury
Tile Installation Shower Pan,29,32,30.5,SF,,70,9300,Tile,ti6,Sq Ft,tile installation shower pan,installation pan shower tile,General,Other,tile,Premium,Ultra-Luxury
Tile Metal Schluter,8,8,8,LF,,70,9300,Tile,ti7,LF,tile metal schluter,metal schluter tile,General,Other,tile,Economy,Premium
Tile Shampoo Niche,115,350,232.5,EA,,70,9300,Tile,ti8,Each,tile shampoo niche,niche shampoo tile,General,Other,tile,Premium,Ultra-Luxury
Tile Build Shower Curb,29,30,29.5,LF,,70,9300,Tile,ti9,LF,tile build shower curb,build curb shower tile,General,Other,tile,Premium,Ultra-Luxury
Tile Sealing of Material,2,2.85,2.43,SF,,70,9300,Tile,ti10,Sq Ft,tile sealing of material,material sealing tile,General,Other,tile,Economy,Premium
Tile Wall/Shower Material,10,25,17.5,SF,0,30,9300,Tile,ti11,Sq Ft,tile wall shower material,material shower tile wall,General,Other,tile,Standard,Luxury
Tile Installation Ebbe/Linear Drain,105,250,177.5,EA,,70,9300,Tile,ti12,Each,tile installation ebbe linear drain,drain ebbe installation linear tile,General,Other,tile,Premium,Ultra-Luxury
Shower Glass (See Shower Pricing Sheet),2500,5500,4000,EA,,70,10280,Shower Glass,sh1,Each,shower glass see shower pricing sheet,glass pricing see sheet shower,General,Other,,Standard,Luxury
Finish Carpentry Base Install,2,4,3,LF,,70,6200,Finish Carpentry,fc1,LF,finish carpentry base install,base carpentry finish install,General,Other,,Economy,Premium
Finish Carpentry Case Install,75,125,100,EA,,70,6200,Finish Carpentry,fc2,Each,finish carpentry case install,carpentry case finish install,General,Other,,Economy,Premium
Finish Carpentry Door Install (Paint Single Prehung),200,300,250,EA,,70,6200,Finish Carpentry,fc3,Each,finish carpentry door install paint single prehung,carpentry door finish install paint prehung single,General,Other,,Standard,Luxury
Finish Carpentry Door Install (Paint Double Prehung),300,350,325,EA,,70,6200,Finish Carpentry,fc4,Each,finish carpentry door install paint double prehung,carpentry door double finish install paint prehung,General,Other,,Premium,Ultra-Luxury
Finish Carpentry Door Install (Paint Exterior),350,350,350,EA,,70,6200,Finish Carpentry,fc5,Each,finish carpentry door install paint exterior,carpentry door exterior finish install paint,General,Other,,Premium,Ultra-Luxury
Finish Carpentry Door Install (Stain Single Prehung),100,100,100,EA,,70,6200,Finish Carpentry,fc6,EA,finish carpentry door install stain single prehung,carpentry door finish install prehung single stain,General,Other,,Economy,Premium
Finish Carpentry Door Install (Stain Double Prehung),225,275,250,EA,,70,6200,Finish Carpentry,fc7,EA,finish carpentry door install stain double prehung,carpentry door double finish install prehung stain,General,Other,,Standard,Luxury
Finish Carpentry Door Install (Stain Exterior),350,450,400,EA,,70,6200,Finish Carpentry,fc8,EA,finish carpentry door install stain exterior,carpentry door exterior finish install stain,General,Other,,Premium,Ultra-Luxury
Finish Carpentry Base Material,1,5.5,3.25,LF,0,30,6200,Finish Carpentry,fc9,LF,finish carpentry base material,base carpentry finish material,General,Other,,Economy,Premium
Finish Carpentry Case Material,1,5.5,3.25,LF,0,30,6200,Finish Carpentry,fc10,LF,finish carpentry case material,carpentry case finish material,General,Other,,Economy,Premium
Finish Carpentry Doors Material,300,500,400,EA,,30,6200,Finish Carpentry,fc11,Each,finish carpentry doors material,carpentry doors finish material,General,Other,,Premium,Ultra-Luxury
Roman Clay / Venetian,5,5,5,SF,,70,9900,Painting And Coatings,pc1,Sq Ft,roman clay venetian,clay roman venetian,General,Interior,painting_coatings,Standard,Luxury
Interior Paint Allowance,4,5,4.5,SF,,70,9900,Painting And Coatings,pc2,Sq Ft,interior paint allowance,allowance interior paint,General,Interior,painting_coatings,Standard,Luxury
Paint Primer (Walls & Lids),1,1,1,SF,,70,9900,Painting And Coatings,pc3,Sq Ft,paint primer walls lids,lids paint primer walls,General,Interior,painting_coatings,Economy,Premium
Paint Walls,1,1,1,SF,,70,9900,Painting And Coatings,pc4,Sq Ft,paint walls,paint walls,General,Interior,painting_coatings,Economy,Premium
Paint Lids,1,1,1,SF,,70,9900,Painting And Coatings,pc5,Sq Ft,paint lids,lids paint,General,Interior,painting_coatings,Economy,Premium
Paint Exterior,1.5,1.5,1.5,SF,,70,9900,Painting And Coatings,pc6,Sq Ft,paint exterior,exterior paint,General,Interior,painting_coatings,Standard,Luxury
Paint Exterior Primer,1,1,1,SF,,70,9900,Painting And Coatings,pc7,Sq Ft,paint exterior primer,exterior paint primer,General,Interior,painting_coatings,Economy,Premium
Paint/Stain Doors,250,500,375,EA,,70,9900,Painting And Coatings,pc8,Each,paint stain doors,doors paint stain,General,Interior,painting_coatings,Premium,Ultra-Luxury
Paint Window Casing ,75,75,75,EA,,70,9900,Painting And Coatings,pc9,Each,paint window casing,casing paint window,General,Interior,painting_coatings,Premium,Ultra-Luxury
Paint Exterior Doors,250,350,300,EA,,70,9900,Painting And Coatings,pc10,Each,paint exterior doors,doors exterior paint,General,Interior,painting_coatings,Premium,Ultra-Luxury
Cabinets Custom Paint Grade,650,850,750,LF,,50,6415,Cabinets,ca1,LF,cabinets custom paint grade,cabinets custom grade paint,General,Interior,cabinetry,Economy,Premium
Cabinets Custom Stain Grade,850,1200,1025,LF,,50,6415,Cabinets,ca2,LF,cabinets custom stain grade,cabinets custom grade stain,General,Interior,cabinetry,Standard,Luxury
Cabinets Custom Full-Height,1000,1500,1250,LF,,50,6415,Cabinets,ca3,LF,cabinets custom full height,cabinets custom full height,General,Interior,cabinetry,Premium,Ultra-Luxury
Countertop Fabrication/Installation,65,95,80,SF,,70,9380,Countertops,co1,Sq Ft,countertop fabrication installation,countertop fabrication installation,General,Interior,countertops,Economy,Premium
Countertop Fabrication Mitered Edge,40,40,40,LF,,70,9380,Countertops,co2,LF,countertop fabrication mitered edge,countertop edge fabrication mitered,General,Interior,countertops,Economy,Premium
Countertop Fabrication Kitchen Sink,300,300,300,EA,,70,9380,Countertops,co3,Each,countertop fabrication kitchen sink,countertop fabrication kitchen sink,General,Interior,countertops,Standard,Luxury
Countertop Fabrication Farm Sink,500,500,500,EA,,70,9380,Countertops,co4,Each,countertop fabrication farm sink,countertop fabrication farm sink,General,Interior,countertops,Premium,Ultra-Luxury
Countertop Fabrication Vanity(ies),200,200,200,EA,,70,9380,Countertops,co5,Each,countertop fabrication vanity ies,countertop fabrication ies vanity,General,Interior,countertops,Standard,Luxury
Countertop Material,2000,3500,2750,EA,0,30,9380,Countertops,co6,Each,countertop material,countertop material,General,Interior,countertops,Premium,Ultra-Luxury
Metal Fabrication Handrail (Powder Coated Steel Tube Stock),100,125,112.5,LF,,70,5500,Metal Fabrications,mf1,LF,metal fabrication handrail powder coated steel tube stock,coated fabrication handrail metal powder steel stock tube,General,Other,,Standard,Luxury
Metal Fabrication Handrail (Powder Coated with Steel Tension Cables),245,335,290,LF,,70,5500,Metal Fabrications,mf2,LF,metal fabrication handrail powder coated with steel tension cables,cables coated fabrication handrail metal powder steel tension,General,Other,,Standard,Luxury
Metal Fabrication Kitchen Hood,8500,12000,10250,EA,,70,5500,Metal Fabrications,mf3,Each,metal fabrication kitchen hood,fabrication hood kitchen metal,General,Other,,Premium,Ultra-Luxury
Metal Fabrication Metal Facade,50,125,87.5,SF,,70,5500,Metal Fabrications,mf4,Sq Ft,metal fabrication metal facade,fabrication facade metal,General,Other,,Economy,Premium
Tree Demo,0,0,0,EA,,,2900,Landscaping,la1,Each,tree demo,demo tree,General,Exterior,landscape_hardscape,Standard,Luxury
Ground Cover Demo,0,0,0,EA,,,2900,Landscaping,la2,Each,ground cover demo,cover demo ground,General,Exterior,landscape_hardscape,Standard,Luxury
Irrigation (Lines),0,0,0,LF,,,2900,Landscaping,la3,LF,irrigation lines,irrigation lines,General,Exterior,landscape_hardscape,Standard,Luxury
Irrigation (Timer Box),0,0,0,EA,,,2900,Landscaping,la4,Each,irrigation timer box,box irrigation timer,General,Exterior,landscape_hardscape,Standard,Luxury
Landscape Lighting,0,0,0,EA,,,2900,Landscaping,la5,Each,landscape lighting,landscape lighting,General,Exterior,landscape_hardscape,Standard,Luxury
Water Feature,0,0,0,EA,,,2900,Landscaping,la6,Each,water feature,feature water,General,Exterior,landscape_hardscape,Standard,Luxury
Fire Feature,0,0,0,EA,,,2900,Landscaping,la7,Each,fire feature,feature fire,General,Exterior,landscape_hardscape,Standard,Luxury
Gas Line,0,0,0,LF,,,2900,Landscaping,la8,LF,gas line,gas line,General,Exterior,landscape_hardscape,Standard,Luxury
Electrical Line,0,0,0,LF,,,2900,Landscaping,la9,LF,electrical line,electrical line,General,Exterior,landscape_hardscape,Standard,Luxury
Pavers,0,0,0,EA,,,2900,Landscaping,la10,EA,pavers,pavers,General,Exterior,landscape_hardscape,Standard,Luxury
Landscaping Concrete Pavers,7.99,10,9,EA,,70,2900,Landscaping,la11,EA,landscaping concrete pavers,concrete landscaping pavers,General,Exterior,landscape_hardscape,Standard,Luxury
Landscaping Travertine 3 Pc,18,18,18,EA,,70,2900,Landscaping,la12,EA,landscaping travertine 3 pc,landscaping travertine,General,Exterior,landscape_hardscape,Standard,Luxury
Landscaping Travertine 4 Pc,24,24,24,EA,,70,2900,Landscaping,la13,EA,landscaping travertine 4 pc,landscaping travertine,General,Exterior,landscape_hardscape,Premium,Ultra-Luxury
Turf,0,0,0,EA,,,2900,Landscaping,la14,EA,turf,turf,General,Exterior,landscape_hardscape,Standard,Luxury
Landscaping 65oz Turf,8,8,8,EA,,70,2900,Landscaping,la15,EA,landscaping 65oz turf,65oz landscaping turf,General,Exterior,landscape_hardscape,Economy,Premium
Demo Pebble Tec,0,0,0,SF,,,13150,Pool,po1,Sq Ft,demo pebble tec,demo pebble tec,General,Other,,Standard,Luxury
Demo Pool Decking,0,0,0,SF,,,13150,Pool,po2,Sq Ft,demo pool decking,decking demo pool,General,Other,,Standard,Luxury
Pool Equipment Lines,0,0,0,LF,,,13150,Pool,po3,LF,pool equipment lines,equipment lines pool,General,Other,,Standard,Luxury
Pool Equipment,0,0,0,EA,,,13150,Pool,po4,Each,pool equipment,equipment pool,General,Other,,Standard,Luxury
New Pebble Tech,0,0,0,SF,,,13150,Pool,po5,Sq Ft,new pebble tech,new pebble tech,General,Other,,Standard,Luxury
Pool Coping,20,20,20,LF,,,13150,Pool,po6,LF,pool coping,coping pool,General,Other,,Premium,Ultra-Luxury
Pool Water Line Tile,16,16,16,LF,,,13150,Pool,po7,LF,pool water line tile,line pool tile water,General,Other,,Economy,Premium
Coping (Material),0,0,0,LF,,,13150,Pool,po8,LF,coping material,coping material,General,Other,,Standard,Luxury
Pebble Tech (Material),0,0,0,SF,,,13150,Pool,po9,Sq Ft,pebble tech material,material pebble tech,General,Other,,Standard,Luxury
Water Line Tile (Material),0,0,0,LF,,,13150,Pool,po10,LF,water line tile material,line material tile water,General,Other,,Standard,Luxury
Rough Clean,0.25,0.25,0.35,SF,,70,1740,Cleaning,cl1,Sq Ft,rough clean,clean rough,General,Other,cleaning,Economy,Premium
Final Clean,0.5,0.5,0.65,SF,,70,1740,Cleaning,cl2,Sq Ft,final clean,clean final,General,Other,cleaning,Economy,Premium
Windows,25,25,25,EA,,70,1740,Cleaning,cl3,Each,windows,windows,General,Other,cleaning,Standard,Luxury
Power Wash,250,250,350,EA,,70,1740,Cleaning,cl4,Each,power wash,power wash,General,Other,cleaning,Premium,Ultra-Luxury
Duct Cleaning,610,610,610,EA,,70,1740,Cleaning,cl5,Each,duct cleaning,cleaning duct,General,Other,cleaning,Premium,Ultra-Luxury
